CATEGORIA QUADS SENIOR;;;;;;;; ; ; ;;
#;Piloto;F1 Manga 1;F1 Manga 2;Puntos F1;F2 Manga 1;F2 Manga 2;Puntos F2;F3 Manga 1;F3 Manga 2;Puntos F3;Total Campeonato;
;;;;;;;;;;;;
CATEGORIA MASTER B;;;;;;;;;;;;
#;Piloto;F1 Manga 1;F1 Manga 2;Puntos F1;F2 Manga 1;F2 Manga 2;Puntos F2;F3 Manga 1;F3 Manga 2;Puntos F3;Total Campeonato;
93;SANDRO DIAZ;24;24;48;24;24;48;24;24;48;144;
85;MOACIR VOGL;22;22;44;22;22;44;22;22;44;132;
;;;;;;;;;;;;
CATEGORIA VELO 200;;;;;;;;;;;;
#;Piloto;F1 Manga 1;F1 Manga 2;Puntos F1;F2 Manga 1;F2 Manga 2;Puntos F2;F3 Manga 1;F3 Manga 2;Puntos F3;Total Campeonato;
85;MOACIR VOGL;20;20;40;18;18;36;20;20;40;116;
23;ADRIAN GOLEMBA;0;0;0;24;24;48;24;24;48;96;
24;GASTON MELLO;24;24;48;0;0;0;0;0;0;48;
621;JONATHAN BOHN;22;22;44;0;0;0;0;0;0;44;
44;MAXIMO OTT;0;0;0;22;22;44;0;0;0;44;
78;LUCAS CUSTODIO;0;0;0;0;0;0;22;22;44;44;
18;JUNIOR NUÑEZ;0;0;0;20;20;40;0;0;0;40;
;;;;;;;;;;;;
CATEGORIA VELO 250;;;;;;;;;;;;
#;Piloto;F1 Manga 1;F1 Manga 2;Puntos F1;F2 Manga 1;F2 Manga 2;Puntos F2;F3 Manga 1;F3 Manga 2;Puntos F3;Total Campeonato;
32;SANDRO KARUCHEK;24;3;27;24;24;48;19;0;19;94;
49;BERGER DAIMON;22;24;46;22;22;44;0;0;0;90;
93;SANDRO DIAZ;19;22;41;0;0;0;22;24;46;87;
27;MARIANO CARDOZO;17;18;35;0;0;0;20;22;42;77;
211;WALTER NARCISO;20;19;39;0;0;0;0;0;0;39;
25;JONATHAN ARIEL GOULART;18;20;38;0;0;0;0;0;0;38;
70;MATIAS RODRIGUEZ;16;17;33;0;0;0;0;0;0;33;
56;MARIANO YUSHCUV;0;0;0;0;0;0;24;3;27;27;
;;;;;;;;;;;;
CATEGORIA JUNIORS;;;;;;;;;;;;
#;Piloto;F1 Manga 1;F1 Manga 2;Puntos F1;F2 Manga 1;F2 Manga 2;Puntos F2;F3 Manga 1;F3 Manga 2;Puntos F3;Total Campeonato;
33;LUCIANO ROSNISKI;24;24;48;0;0;0;24;24;48;96;
65;TULIO UMFIER;22;22;44;0;0;0;19;0;19;63;
299;GUIDO KARUCHEK;0;0;0;22;24;46;0;0;0;46;
38;JOSUE ANGER;0;0;0;24;22;46;0;0;0;46;
22;BRUNO GONZALEZ;0;0;0;0;0;0;22;22;44;44;
93;LIONEL TARNOSKI;0;0;0;0;0;0;20;20;40;40;
;;;;;;;;;;;;
CATEGORIA MX 2;;;;;;;;;;;;
#;Piloto;F1 Manga 1;F1 Manga 2;Puntos F1;F2 Manga 1;F2 Manga 2;Puntos F2;F3 Manga 1;F3 Manga 2;Puntos F3;Total Campeonato;
53;SANDRO ARIEL KLEIBERT;18;19;37;22;22;44;20;22;42;123;
999;MAICOL ANGER;20;20;40;24;24;48;0;0;0;88;
89;TOMAS SCHRODER;22;3;25;0;0;0;24;20;44;69;
7;FELIPE BOILINI;24;24;48;0;0;0;0;0;0;48;
55;GUSTAVO RIOS;0;0;0;0;0;0;22;24;46;46;
24;VICTOR PETRUSZYNSKI;19;22;41;0;0;0;0;0;0;41;
23;CRISTIAN OJEDA;0;0;0;0;0;0;19;19;38;38;
;;;;;;;;;;;;
CATEGORIA OPENCLASS;;;;;;;;;;;;
#;Piloto;F1 Manga 1;F1 Manga 2;Puntos F1;F2 Manga 1;F2 Manga 2;Puntos F2;F3 Manga 1;F3 Manga 2;Puntos F3;Total Campeonato;
12;DENIS STUCAN;0;0;0;24;24;48;24;22;46;94;
999;MAICOL ANGER;20;20;40;22;22;44;0;0;0;84;
53;SANDRO KLEIBERT;0;0;0;18;20;38;16;17;33;71;
11;LUIS CHACON;19;0;19;0;0;0;22;24;46;65;
2;ADRIAN MATTJE;0;0;0;20;0;20;20;19;39;59;
604;JUAN CRUZ GONSESKI;24;24;48;0;0;0;0;0;0;48;
789;EZEQUIEL RAASCH;22;22;44;0;0;0;0;0;0;44;
56;MARIANO YUSHCUV;0;0;0;0;0;0;19;20;39;39;
55;GUSTAVO RIOS;0;0;0;0;0;0;17;18;35;35;
89;TOMAS SCHRODER;0;0;0;0;0;0;18;16;34;34;
93;SANDRO DIAZ;0;0;0;18;0;18;0;0;0;18;
23;CRISTIAN OJEDA;0;0;0;0;0;0;3;15;18;18;
